Range,Date,T2Mean,T2M_MAX,T2M_MIN
Summer,1980-01-01,-31.32343445,-27.16695557,-33.56185303
Summer,1980-01-02,-32.1814209,-25.11004028,-39.8583313
Summer,1980-01-03,-41.75350342,-39.50472412,-43.26540527
Summer,1980-01-04,-36.78960571,-34.59951172,-40.77498779
Summer,1980-01-05,-37.61504517,-34.72576294,-40.00100098
Summer,1980-01-06,-36.09295044,-33.48909912,-40.115625
Summer,1980-01-07,-35.11605225,-30.84212646,-37.83510742
Summer,1980-01-08,-31.58973083,-30.1770874,-34.5140625
Summer,1980-01-09,-32.09647522,-29.99691162,-34.14888916
Summer,1980-01-10,-36.59266052,-33.40908203,-40.76677856
Summer,1980-01-11,-38.97649536,-36.32952271,-42.92049561
Summer,1980-01-12,-46.72113953,-41.66802368,-49.06981812
Summer,1980-01-13,-36.1554657,-30.95211182,-46.34539185
Summer,1980-01-14,-44.63912354,-38.7439209,-48.93947754
Summer,1980-01-15,-40.835672,-29.87722168,-49.21862183
Summer,1980-01-16,-25.37806091,-19.07528076,-30.35213623
Summer,1980-01-17,-28.13588867,-20.13646851,-35.23739014
Summer,1980-01-18,-40.92272339,-36.30507813,-42.92012939
Summer,1980-01-19,-35.38134155,-23.87212524,-41.4899231
Summer,1980-01-20,-26.31144104,-22.68615112,-29.40041504
Summer,1980-01-21,-36.18180237,-26.08123169,-39.92699585
Summer,1980-01-22,-31.26175842,-23.39956055,-38.54299316
Summer,1980-01-23,-21.20102844,-19.89095459,-24.66616211
Summer,1980-01-24,-23.14321289,-19.99453125,-26.90883789
Summer,1980-01-25,-29.28557739,-22.24660645,-37.87758789
Summer,1980-01-26,-33.77053223,-29.19780884,-38.83742676
Summer,1980-01-27,-30.79259644,-28.80709229,-33.37508545
Summer,1980-01-28,-33.42214355,-31.80309448,-35.24376831
Summer,1980-01-29,-30.83057556,-26.90691528,-34.58760986
Summer,1980-01-30,-31.0127655,-27.62462769,-34.48879395
Summer,1980-01-31,-32.61416016,-29.45818481,-36.22640381
Summer,1980-02-01,-29.13303528,-22.97121582,-37.02147827
Summer,1980-02-02,-22.69082031,-20.12719116,-24.22872314
Summer,1980-02-03,-18.38259277,-15.04338989,-20.57085571
Summer,1980-02-04,-14.31478271,-13.072229,-16.9442688
Summer,1980-02-05,-20.09024963,-16.51137695,-22.90621338
Summer,1980-02-06,-19.19454346,-14.41225586,-21.42421875
Summer,1980-02-07,-13.6932312,-9.761132813,-15.93230591
Summer,1980-02-08,-8.932061768,-7.143029785,-11.02999268
Summer,1980-02-09,-18.366922,-10.9777771,-23.72359619
Summer,1980-02-10,-27.16719971,-22.98131714,-31.25478516
Summer,1980-02-11,-30.37507019,-22.73739014,-34.96889648
Summer,1980-02-12,-22.15041504,-19.98668823,-23.77980957
Summer,1980-02-13,-28.66396484,-22.74331055,-32.14260254
Summer,1980-02-14,-26.29894409,-21.10057983,-29.18294678
Summer,1980-02-15,-23.71523438,-20.73726807,-25.60134277
Summer,1980-02-16,-20.98298035,-16.45296631,-25.02150879
Summer,1980-02-17,-21.54171143,-17.23116455,-27.384729
Summer,1980-02-18,-27.9074646,-26.17803345,-31.02712402
Summer,1980-02-19,-37.06981812,-31.7958313,-41.2159668
Summer,1980-02-20,-40.97348938,-33.02959595,-43.87963257
Summer,1980-02-21,-33.0359436,-30.42736206,-37.52327881
Summer,1980-02-22,-35.4507843,-30.56054077,-38.69091187
Summer,1980-02-23,-36.35640869,-29.98806152,-40.73241577
Summer,1980-02-24,-34.61541138,-25.88753662,-38.52102051
Summer,1980-02-25,-23.49213562,-19.60344849,-26.17073975
Summer,1980-02-26,-28.12641296,-22.30373535,-31.19536743
Summer,1980-02-27,-34.72667847,-28.27059326,-38.69411621
Summer,1980-02-28,-32.60665283,-22.46688232,-36.83342896
Summer,1980-02-29,-22.31600342,-19.73409424,-24.56359253
Summer,1980-03-01,-31.46987305,-21.8053833,-37.31234131
Summer,1980-03-02,-37.07470093,-29.70232544,-40.96849976
Summer,1980-03-03,-25.44265137,-22.08974609,-29.69231567
Summer,1980-03-04,-23.23331604,-20.86516724,-24.94060669
Summer,1980-03-05,-27.72091064,-22.15123901,-32.6970459
Summer,1980-03-06,-31.42598877,-24.5538269,-35.30065308
Summer,1980-03-07,-30.09163818,-25.1513916,-33.73040161
Summer,1980-03-08,-32.91471252,-26.61593018,-39.40502319
Summer,1980-03-09,-32.55277405,-24.89943848,-36.275354
Summer,1980-03-10,-29.2289978,-23.74334106,-33.41170654
Summer,1980-03-11,-27.44338379,-22.1057373,-30.81734619
Summer,1980-03-12,-30.69608459,-24.43273315,-36.38118896
Summer,1980-03-13,-32.41420898,-26.74233398,-36.7701355
