DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
1,-114.2879028,63.39672852,-15.06888773,2.74160862,10.97386837,2.820245929,10.86310407,-12.2486418,-4.205783664
2,-114.2879028,63.39672852,-15.13901956,2.74160862,10.97386837,2.815066844,10.87080506,-12.32395271,-4.268214494
3,-114.2879028,63.39672852,-15.20915138,2.74160862,10.97386837,2.809887759,10.87850606,-12.39926362,-4.330645324
4,-114.2879028,63.39672852,-15.27928321,2.74160862,10.97386837,2.804708675,10.88620706,-12.47457454,-4.393076154
5,-114.2879028,63.39672852,-15.34941504,2.74160862,10.97386837,2.79952959,10.89390806,-12.54988545,-4.455506985
6,-114.2879028,63.39672852,-15.41954687,2.74160862,10.97386837,2.794350505,10.90160905,-12.62519636,-4.517937815
7,-114.2879028,63.39672852,-15.47899451,2.74160862,10.97386837,2.790121212,10.8977857,-12.6888733,-4.581208809
8,-114.2879028,63.39672852,-15.53844215,2.74160862,10.97386837,2.785891919,10.89396235,-12.75255023,-4.644479802
9,-114.2879028,63.39672852,-15.59788979,2.74160862,10.97386837,2.781662627,10.890139,-12.81622716,-4.707750796
10,-114.2879028,63.39672852,-15.65733743,2.74160862,10.97386837,2.777433334,10.88631564,-12.8799041,-4.77102179
11,-114.2879028,63.39672852,-15.71678507,2.74160862,10.97386837,2.773204041,10.88249229,-12.94358103,-4.834292783
12,-114.2879028,63.39672852,-15.77623271,2.74160862,10.97386837,2.768974749,10.87866894,-13.00725797,-4.897563777
13,-114.2879028,63.39672852,-15.83568036,2.74160862,10.97386837,2.764745456,10.87484559,-13.0709349,-4.960834771
14,-114.2879028,63.39672852,-15.895128,2.74160862,10.97386837,2.760516163,10.87102223,-13.13461183,-5.024105764
15,-114.2879028,63.39672852,-15.95457564,2.74160862,10.97386837,2.756286871,10.86719888,-13.19828877,-5.087376758
16,-114.2879028,63.39672852,-16.01402328,2.74160862,10.97386837,2.752057578,10.86337553,-13.2619657,-5.150647752
17,-114.2879028,63.39672852,-16.05935178,2.74160862,10.97386837,2.750852619,10.80356317,-13.30849916,-5.255788615
18,-114.2879028,63.39672852,-16.10468028,2.74160862,10.97386837,2.74964766,10.7437508,-13.35503262,-5.360929477
19,-114.2879028,63.39672852,-16.15000878,2.74160862,10.97386837,2.748442701,10.68393844,-13.40156608,-5.46607034
20,-114.2879028,63.39672852,-16.19533728,2.74160862,10.97386837,2.747237742,10.62412608,-13.44809954,-5.571211203
21,-114.2879028,63.39672852,-16.24066578,2.74160862,10.97386837,2.746032783,10.56431372,-13.494633,-5.676352066
22,-114.2879028,63.39672852,-16.28599429,2.74160862,10.97386837,2.744827824,10.50450136,-13.54116646,-5.781492929
23,-114.2879028,63.39672852,-16.33132279,2.74160862,10.97386837,2.743622865,10.44468899,-13.58769992,-5.886633792
24,-114.2879028,63.39672852,-16.37665129,2.74160862,10.97386837,2.742417906,10.38487663,-13.63423338,-5.991774654
25,-114.2879028,63.39672852,-16.42197979,2.74160862,10.97386837,2.741212947,10.32506427,-13.68076684,-6.096915517
26,-114.2879028,63.39672852,-16.46730829,2.74160862,10.97386837,2.740007988,10.26525191,-13.7273003,-6.20205638
27,-114.2879028,63.39672852,-16.49415065,2.74160862,10.97386837,2.7398351,10.2055432,-13.75431555,-6.288607446
28,-114.2879028,63.39672852,-16.52099301,2.74160862,10.97386837,2.739662213,10.1458345,-13.78133079,-6.375158511
29,-114.2879028,63.39672852,-16.54783537,2.74160862,10.97386837,2.739489326,10.08612579,-13.80834604,-6.461709577
30,-114.2879028,63.39672852,-16.57467773,2.74160862,10.97386837,2.739316439,10.02641708,-13.83536129,-6.548260642
31,-114.2879028,63.39672852,-16.60152009,2.74160862,10.97386837,2.739143552,9.966708379,-13.86237653,-6.634811708
32,-114.2879028,63.39672852,-16.62836245,2.736659288,8.930996895,2.738970664,9.906999673,-13.88939178,-6.721362773
33,-114.2879028,63.39672852,-16.65520481,2.736659288,8.930996895,2.738797777,9.847290966,-13.91640703,-6.807913839
34,-114.2879028,63.39672852,-16.68204716,2.736659288,8.930996895,2.73862489,9.78758226,-13.94342227,-6.894464904
35,-114.2879028,63.39672852,-16.70888952,2.736659288,8.930996895,2.738452003,9.727873554,-13.97043752,-6.98101597
36,-114.2879028,63.39672852,-16.73573188,2.736659288,8.930996895,2.738279116,9.668164848,-13.99745277,-7.067567035
37,-114.2879028,63.39672852,-16.7393618,2.736659288,8.930996895,2.733863577,9.599358583,-14.00549823,-7.140003222
38,-114.2879028,63.39672852,-16.74299173,2.736659288,8.930996895,2.729448038,9.530552317,-14.01354369,-7.212439409
39,-114.2879028,63.39672852,-16.74662165,2.736659288,8.930996895,2.725032499,9.461746051,-14.02158915,-7.284875596
