"","EID","X","Y","x","y"
"63338",1,-110.275901794434,61.2463607788086,169,182
"63339",2,-109.682197570801,61.257740020752,170,182
"63685",3,-111.497703552246,61.5019493103027,167,183
"63686",4,-110.900199890137,61.5179595947266,168,183
"63687",5,-110.302101135254,61.5317001342773,169,183
"63688",6,-109.70369720459,61.5431594848633,170,183
"63689",7,-109.104797363281,61.5523300170898,171,183
"63690",8,-108.505699157715,61.5592193603516,172,183
"64033",9,-112.135696411133,61.7683296203613,166,184
"64034",10,-111.533996582031,61.786750793457,167,184
"64035",11,-110.931602478027,61.8028793334961,168,184
"64036",12,-110.328796386719,61.8167114257812,169,184
"64037",13,-109.72550201416,61.8282508850098,170,184
"64038",14,-109.121803283691,61.8374786376953,171,184
"64039",15,-108.51789855957,61.8444213867188,172,184
"64381",16,-112.783401489258,62.0317993164062,165,185
"64382",17,-112.177398681641,62.052661895752,166,185
"64383",18,-111.57080078125,62.0712089538574,167,185
"64384",19,-110.963600158691,62.0874404907227,168,185
"64385",20,-110.355796813965,62.1013717651367,169,185
"64386",21,-109.747703552246,62.1129913330078,170,185
"64387",22,-109.139099121094,62.1222915649414,171,185
"64388",23,-108.530296325684,62.1292686462402,172,185
"64728",24,-114.050003051758,62.2666816711426,163,186
"64729",25,-113.440803527832,62.292308807373,164,186
"64730",26,-112.830703735352,62.3156204223633,165,186
"64731",27,-112.219802856445,62.3366203308105,166,186
"64732",28,-111.608299255371,62.3552894592285,167,186
"64733",29,-110.996101379395,62.3716506958008,168,186
"64734",30,-110.383399963379,62.385669708252,169,186
"64735",31,-109.770202636719,62.3973693847656,170,186
"64736",32,-109.156700134277,62.4067306518555,171,186
"64737",33,-108.54280090332,62.413761138916,172,186
"65076",34,-114.721199035645,62.5216598510742,162,187
"65077",35,-114.108001708984,62.5497894287109,163,187
"65078",36,-113.493797302246,62.5755882263184,164,187
"65079",37,-112.878799438477,62.5990715026855,165,187
"65080",38,-112.262901306152,62.6202087402344,166,187
